name,track_number,album_id,album_name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url
"Ten Pena (Mercy, Mercy)",9,NA,NA,4lbMwr26x84B9UbMOdpfQq,0.611,0.942,9,-2.629,1,0.0349,0.00384,0.00228,0.966,0.881,116.3,213600,4,spotify:track:4lbMwr26x84B9UbMOdpfQq,https://api.spotify.com/v1/audio-analysis/4lbMwr26x84B9UbMOdpfQq
Aquí Sin Tu Amor (Here Without You),10,NA,NA,61hbu2jLE8Es9YSelhlPrH,0.563,0.858,9,-4.635,0,0.0364,0.134,1.79e-4,0.271,0.67,109.936,264787,4,spotify:track:61hbu2jLE8Es9YSelhlPrH,https://api.spotify.com/v1/audio-analysis/61hbu2jLE8Es9YSelhlPrH
Aguante La Amistad (Set You Free This Time),11,NA,NA,0LyYrhMr5FukBkdJTxgKq5,0.391,0.479,2,-7.437,1,0.0311,0.143,6.82e-5,0.0373,0.519,203.6,199760,4,spotify:track:0LyYrhMr5FukBkdJTxgKq5,https://api.spotify.com/v1/audio-analysis/0LyYrhMr5FukBkdJTxgKq5
El Niño y Yo (The Child And I),12,NA,NA,2aJbr6jfXt7YyqDSDw85UZ,0.621,0.904,2,-4.748,1,0.0376,0.115,5.09e-6,0.215,0.624,116.779,229400,4,spotify:track:2aJbr6jfXt7YyqDSDw85UZ,https://api.spotify.com/v1/audio-analysis/2aJbr6jfXt7YyqDSDw85UZ
Espejos,13,NA,NA,5AY7AyGAp90BjmWD0q7qgR,0.611,0.745,4,-6.241,0,0.0283,0.506,0.481,0.1,0.59,109.751,192613,4,spotify:track:5AY7AyGAp90BjmWD0q7qgR,https://api.spotify.com/v1/audio-analysis/5AY7AyGAp90BjmWD0q7qgR
Monoblock,14,NA,NA,1fOxO5fELlq7x4ByOuXfpE,0.246,0.642,4,-8.513,1,0.0349,0.366,0.00113,0.636,0.432,82.477,165240,4,spotify:track:1fOxO5fELlq7x4ByOuXfpE,https://api.spotify.com/v1/audio-analysis/1fOxO5fELlq7x4ByOuXfpE
Me Tiré Por Vos,15,NA,NA,3NxwuIwj8K5pog0JzNtbd2,0.624,0.881,4,-6.045,0,0.0407,0.173,0.158,0.853,0.767,115.813,272253,4,spotify:track:3NxwuIwj8K5pog0JzNtbd2,https://api.spotify.com/v1/audio-analysis/3NxwuIwj8K5pog0JzNtbd2
"""Noveno ""B""""",16,NA,NA,7n1OT0RJ0Hlmjcrl3mPJBL,0.454,0.551,2,-8.776,0,0.0267,0.0118,0.0273,0.374,0.268,58.372,264493,4,spotify:track:7n1OT0RJ0Hlmjcrl3mPJBL,https://api.spotify.com/v1/audio-analysis/7n1OT0RJ0Hlmjcrl3mPJBL
Juan Represión,17,NA,NA,542bjzkdzaOOUYFqOCog6e,0.368,0.721,0,-2.871,1,0.027,0.0408,0.0904,0.196,0.202,142.904,249200,4,spotify:track:542bjzkdzaOOUYFqOCog6e,https://api.spotify.com/v1/audio-analysis/542bjzkdzaOOUYFqOCog6e
Digo De Vos,18,NA,NA,63ELD0K2ofjGSXm9qcNm92,0.532,0.499,0,-7.03,1,0.0298,0.377,0.00382,0.0787,0.31,84.143,118373,4,spotify:track:63ELD0K2ofjGSXm9qcNm92,https://api.spotify.com/v1/audio-analysis/63ELD0K2ofjGSXm9qcNm92
Sé Mi Nena (Be My Baby),19,NA,NA,5NsXThHLMdWxRG4xA6U1KA,0.55,0.674,0,-5.641,1,0.0284,0.219,1.16e-6,0.18,0.524,106.288,203293,4,spotify:track:5NsXThHLMdWxRG4xA6U1KA,https://api.spotify.com/v1/audio-analysis/5NsXThHLMdWxRG4xA6U1KA
Rasguña las Piedras,1,5gdnkkysIjUUBh8Ksk7GmW,Rasguña Las Piedras,3zhH1Ng7NRBX8ZQAULwXNm,0.353,0.371,7,-11.861,1,0.0462,0.239,0,0.0918,0.301,80.5,188427,4,spotify:track:3zhH1Ng7NRBX8ZQAULwXNm,https://api.spotify.com/v1/audio-analysis/3zhH1Ng7NRBX8ZQAULwXNm
Estación,2,NA,NA,2Xk8YUeBaNDBiPkb718Ov2,0.502,0.354,4,-13.027,0,0.0447,0.808,2.21e-6,0.104,0.47,125.866,87760,4,spotify:track:2Xk8YUeBaNDBiPkb718Ov2,https://api.spotify.com/v1/audio-analysis/2Xk8YUeBaNDBiPkb718Ov2
"Un Hada, un Cisne",3,NA,NA,7hsDTdhPXzugsRtpdluTkz,0.263,0.235,2,-14.068,1,0.03,0.166,0.00135,0.0985,0.12,172.635,384360,3,spotify:track:7hsDTdhPXzugsRtpdluTkz,https://api.spotify.com/v1/audio-analysis/7hsDTdhPXzugsRtpdluTkz
Mr. Jones o Pequeña Semblanza de una Familia Tipo Americana,4,NA,NA,7pIlHsZ83Pg8BG4XeB4Si3,0.53,0.754,1,-9.801,0,0.0558,0.117,0.0062,0.232,0.829,139.041,101227,4,spotify:track:7pIlHsZ83Pg8BG4XeB4Si3,https://api.spotify.com/v1/audio-analysis/7pIlHsZ83Pg8BG4XeB4Si3
"Tribulaciones, Lamento y Ocaso de un Tonto Rey Imaginario o No",5,NA,NA,5ZU21esSFVnC0KgVCvfc8A,0.331,0.193,3,-14.062,0,0.0335,0.72,0,0.121,0.137,123.104,356827,4,spotify:track:5ZU21esSFVnC0KgVCvfc8A,https://api.spotify.com/v1/audio-analysis/5ZU21esSFVnC0KgVCvfc8A
Para Quien Canto Yo Entonces,6,NA,NA,5eGn8rmEbCEqALXgnRVNr5,0.378,0.259,2,-13.916,1,0.0318,0.441,7.1e-4,0.0977,0.446,159.221,221333,4,spotify:track:5eGn8rmEbCEqALXgnRVNr5,https://api.spotify.com/v1/audio-analysis/5eGn8rmEbCEqALXgnRVNr5
Las Increíbles Aventuras del Señor Tijeras,7,NA,NA,1X4RqEyynmD5sjSTPeBv7s,0.38,0.269,2,-14.142,1,0.0381,0.393,0.0443,0.115,0.207,65.315,347827,4,spotify:track:1X4RqEyynmD5sjSTPeBv7s,https://api.spotify.com/v1/audio-analysis/1X4RqEyynmD5sjSTPeBv7s
Alto en la Torre,8,NA,NA,0662WWaCZ5jMAfDGjpl84j,0.273,0.252,2,-11.075,1,0.0295,0.845,3.83e-5,0.197,0.105,83.414,280227,4,spotify:track:0662WWaCZ5jMAfDGjpl84j,https://api.spotify.com/v1/audio-analysis/0662WWaCZ5jMAfDGjpl84j
Fabricante De Mentiras,9,NA,NA,0TzViuNOxWUqvpR5aBREAi,0.282,0.28,2,-14.09,1,0.0313,0.362,0,0.469,0.271,134.429,292133,4,spotify:track:0TzViuNOxWUqvpR5aBREAi,https://api.spotify.com/v1/audio-analysis/0TzViuNOxWUqvpR5aBREAi
El Fantasma de Canterville (En Vivo),10,NA,NA,5ADTsR9lFzyMaS9L879jkZ,0.487,0.382,7,-12.982,1,0.0308,0.684,0,0.475,0.452,111.055,237440,4,spotify:track:5ADTsR9lFzyMaS9L879jkZ,https://api.spotify.com/v1/audio-analysis/5ADTsR9lFzyMaS9L879jkZ
"Un Hada, un Cisne (En Vivo)",1,5m4CVOIBGZeZnOviWzG3L8,Adios Sui Generis Vol. II,5szhB0Q15WTCkshsohogyJ,0.451,0.517,2,-16.21,1,0.0767,0.183,0.49,0.137,0.237,110.637,1648600,4,spotify:track:5szhB0Q15WTCkshsohogyJ,https://api.spotify.com/v1/audio-analysis/5szhB0Q15WTCkshsohogyJ
Pequeñas Delicias de la Vida Conyugal (En Vivo),2,NA,NA,6kWkEtPDcq54OSg7OO3dEv,0.455,0.755,9,-11.98,0,0.194,0.0409,0.00981,0.658,0.79,111.345,231000,4,spotify:track:6kWkEtPDcq54OSg7OO3dEv,https://api.spotify.com/v1/audio-analysis/6kWkEtPDcq54OSg7OO3dEv
Tango en Segunda (En Vivo),3,NA,NA,0dDBsawyebCvV5mT755XhU,0.344,0.367,9,-16.073,0,0.0481,0.372,0.282,0.0857,0.0893,136.935,660600,4,spotify:track:0dDBsawyebCvV5mT755XhU,https://api.spotify.com/v1/audio-analysis/0dDBsawyebCvV5mT755XhU
Rasguña las Piedras (En Vivo),4,NA,NA,6qX6RXG9g5dOjxB6ek5zdJ,0.333,0.624,7,-12.579,1,0.136,0.39,0,0.968,0.354,90.024,236493,3,spotify:track:6qX6RXG9g5dOjxB6ek5zdJ,https://api.spotify.com/v1/audio-analysis/6qX6RXG9g5dOjxB6ek5zdJ
